Gene	Cancer	KEY	Tumor suppressor or oncogene prediction (by 20/20+)	Decision	Tissue Frequency	Pancan Frequency	Consensus Score	Correlation adusted score	Novel	Rescue Notes	Note about previous publication
MSH6	UCEC	MSH6_UCEC	tsg	official	4.29292929292929E-2	0.010573851745787	2	2	0	NA	0
MTOR	PANCAN	MTOR_PANCAN	possible oncogene	official	"NA"	0.0269853508095605	2	2	0	NA	Found in 24132290
MTOR	KIRC	MTOR_KIRC	oncogene	official	9.2391304347826095E-2	0.0269853508095605	5.5	4.793885598072995	0	NA	Found in 23792563
MUC6	STAD	MUC6_STAD	possible tsg	official	6.7226890756302504E-2	0.0243418878731138	1	0	1	NA	Found in 25079317
MYC	PANCAN	MYC_PANCAN	oncogene	official	"NA"	0.00815067738737746	1.5	1.5	0	NA	0
MYCN	UCEC	MYCN_UCEC	oncogene	official	3.2828282828282797E-2	0.00837096596541469	1.5	1.5	0	NA	0
MYD88	DLBC	MYD88_DLBC	oncogene	official	0.18918918918918901	0.00473620442780042	3.5	2.695172191928	0	NA	0
MYH9	HNSC	MYH9_HNSC	oncogene	official	5.1792828685259001E-2	0.0277563608326908	2.5	2.5	0	NA	0
NCOR1	PANCAN	NCOR1_PANCAN	tsg	official	"NA"	0.0300693909020817	1.5	1.5	0	NA	Found in 24132290
NCOR1	BRCA	NCOR1_BRCA	tsg	official	4.7496790757381301E-2	0.0300693909020817	4.5	2.92274676008079	0	NA	0
NF1	LUSC	NF1_LUSC	tsg	official	0.114224137931034	0.0528692587289349	2.5	2.5	0	NA	0
NF1	BRCA	NF1_BRCA	tsg	official	3.8510911424903697E-2	0.0528692587289349	3.5	2.40484889515079	0	NA	0
NF1	PANCAN	NF1_PANCAN	tsg	official	"NA"	0.0528692587289349	3.5	2.984498591833	0	NA	Found in 24132290
NF1	PCPG	NF1_PCPG	tsg	official	8.9385474860335198E-2	0.0528692587289349	3.5	2.8422889039775	0	NA	Found in 28162975
NF1	SKCM	NF1_SKCM	tsg	official	0.127962085308057	0.0528692587289349	3.5	3.5	0	NA	Found in 26091043
NF1	LUAD	NF1_LUAD	tsg	official	0.120649651972158	0.0528692587289349	4	4	0	NA	Found in 25079552
NF1	GBM	NF1_GBM	tsg	official	0.102893890675241	0.0528692587289349	4.5	2.90070306120007	0	NA	Found in 24120142
NF1	OV	NF1_OV	tsg	official	7.5980392156862697E-2	0.0528692587289349	4.5	3.980808015463	0	NA	Found in 21720365
NF1	LGG	NF1_LGG	tsg	official	5.8823529411764698E-2	0.0528692587289349	5	3.066428460908175	0	NA	Found in 26061751
NF2	KIRP	NF2_KIRP	tsg	official	3.2727272727272702E-2	0.0118955832140104	2	2	0	NA	Found in 26536169
NF2	PANCAN	NF2_PANCAN	tsg	official	"NA"	0.0118955832140104	2.5	1.984498591833	0	NA	0
NF2	MESO	NF2_MESO	tsg	official	0.234567901234568	0.0118955832140104	4.5	2.645159692111975	0	NA	0
NFE2L2	BLCA	NFE2L2_BLCA	oncogene	official	6.4766839378238295E-2	0.0277563608326908	3	2.5796734569315	0	NA	0
NFE2L2	PANCAN	NFE2L2_PANCAN	oncogene	official	"NA"	0.0277563608326908	3	2.484498591833	0	NA	Found in 24132290
NFE2L2	UCEC	NFE2L2_UCEC	oncogene	official	7.8282828282828301E-2	0.0277563608326908	3.5	3.2023006259305	0	NA	0
NFE2L2	HNSC	NFE2L2_HNSC	oncogene	official	6.17529880478088E-2	0.0277563608326908	4	4	0	NA	0
NFE2L2	CESC	NFE2L2_CESC	oncogene	official	4.7445255474452601E-2	0.0277563608326908	4.5	3.951602973249	0	NA	Found in 28112728
NFE2L2	LIHC	NFE2L2_LIHC	oncogene	official	3.3898305084745797E-2	0.0277563608326908	4.5	4.5	0	NA	Found in private communication about integrative LIHC analysis
NFE2L2	ESCA	NFE2L2_ESCA	oncogene	official	0.11046511627907001	0.0277563608326908	5	5	0	NA	Found in 28052061
NFE2L2	LUSC	NFE2L2_LUSC	oncogene	official	0.15301724137931	0.0277563608326908	5	4.52561219857925	0	NA	Found in 22960745
NIPBL	PANCAN	NIPBL_PANCAN	tsg	official	"NA"	0.0340345853067518	2.5	1.984498591833	1	NA	0
NIPBL	LGG	NIPBL_LGG	tsg	official	3.5294117647058802E-2	0.0340345853067518	3	2.470020363811	1	NA	0
NOTCH1	ESCA	NOTCH1_ESCA	tsg	official	8.7209302325581398E-2	0.039431655468664	1	0	0	NA	Found in 28052061
NOTCH1	CESC	NOTCH1_CESC	possible tsg	official	6.5693430656934296E-2	0.039431655468664	2	1.40181831114	0	NA	0
NOTCH1	LUSC	NOTCH1_LUSC	tsg	official	8.8362068965517196E-2	0.039431655468664	2.5	2.5	0	NA	Found in 22960745
NOTCH1	PANCAN	NOTCH1_PANCAN	tsg	official	"NA"	0.039431655468664	3	2.484498591833	0	NA	Found in 24132290
NOTCH1	LGG	NOTCH1_LGG	possible tsg	official	7.2549019607843102E-2	0.039431655468664	5.5	4.104702899655	0	NA	Found in 26061751
NOTCH1	HNSC	NOTCH1_HNSC	tsg	official	0.18127490039840599	0.039431655468664	6	4.914535963739545	0	NA	Found in 25631445
NOTCH2	PANCAN	NOTCH2_PANCAN	NA	rescued	"NA"	0.0241215992950766	0	NA	0	Evidence from OncoIMPACT (SNV result)	NA
NPM1	LAML	NPM1_LAML	oncogene	official	6.4748201438848907E-2	0.00506663729485626	3.5	2.8629109186025	0	NA	Found in 23634996
NRAS	LIHC	NRAS_LIHC	possible tsg	official	1.41242937853107E-2	0.0267650622315233	1	0	0	NA	Found in private communication about integrative LIHC analysis
NRAS	BLCA	NRAS_BLCA	oncogene	official	2.0725388601036301E-2	0.0267650622315233	1.5	1.5	0	NA	0
NRAS	UCEC	NRAS_UCEC	oncogene	official	3.2828282828282797E-2	0.0267650622315233	1.5	1.5	0	NA	0
NRAS	LGG	NRAS_LGG	oncogene	official	7.8431372549019607E-3	0.0267650622315233	2.5	2.5	0	NA	0
NRAS	OV	NRAS_OV	oncogene	official	1.22549019607843E-2	0.0267650622315233	2.5	2.5	0	NA	0
NRAS	COADREAD	NRAS_COADREAD	oncogene	official	6.0126582278481E-2	0.0267650622315233	3	2	0	NA	Found in 22810696
NRAS	THYM	NRAS_THYM	possible oncogene	official	2.4793388429752101E-2	0.0267650622315233	3	3	0	NA	Found in private communication about integrative THYM analysis
NRAS	TGCT	NRAS_TGCT	oncogene	official	3.4482758620689703E-2	0.0267650622315233	3.5	3.0664106113115	0	NA	Found in private communication about integrative TGCT analysis
NRAS	PANCAN	NRAS_PANCAN	oncogene	official	"NA"	0.0267650622315233	5	4.484498591833	0	NA	Found in 24132290
NRAS	SKCM	NRAS_SKCM	oncogene	official	0.27725118483412298	0.0267650622315233	5	4.543575247025745	0	NA	Found in 26091043
NRAS	THCA	NRAS_THCA	oncogene	official	7.9268292682926803E-2	0.0267650622315233	5	4.560581020435	0	NA	Found in 25417114
NSD1	ESCA	NSD1_ESCA	tsg	official	4.0697674418604703E-2	0.0317215552373609	2	2	0	NA	0
NSD1	PANCAN	NSD1_PANCAN	tsg	official	"NA"	0.0317215552373609	2.5	1.984498591833	0	NA	Found in 24132290
NSD1	HNSC	NSD1_HNSC	tsg	official	0.113545816733068	0.0317215552373609	4.5	3.414535963739545	0	NA	Found in 25631445
NUP133	LIHC	NUP133_LIHC	possible tsg	official	3.6723163841807897E-2	0.012556448948122	1.5	1.5	1	NA	0
NUP93	THCA	NUP93_THCA	possible tsg	official	8.1300813008130107E-3	0.00837096596541469	2	2	0	NA	0
PAX5	PANCAN	PAX5_PANCAN	NA	rescued	"NA"	0.00815067738737746	0	NA	0	Evidence from OncoIMPACT (SNV result)	NA
PBRM1	UCEC	PBRM1_UCEC	tsg	official	5.8080808080808101E-2	0.0373389139773103	1.5	1.5	0	NA	0
PBRM1	PANCAN	PBRM1_PANCAN	tsg	official	"NA"	0.0373389139773103	2.5	1.984498591833	0	NA	Found in 24132290
PBRM1	CHOL	PBRM1_CHOL	tsg	official	0.17647058823529399	0.0373389139773103	3.5	2.321957774046475	0	NA	0
PBRM1	KIRC	PBRM1_KIRC	tsg	official	0.42119565217391303	0.0373389139773103	5	3.26352538587967	0	NA	Found in 23792563
PCBP1	PANCAN	PCBP1_PANCAN	oncogene	official	"NA"	0.00682894591915409	2.5	2.5	0	NA	Found in 24132290
PCBP1	COADREAD	PCBP1_COADREAD	oncogene	official	5.3797468354430403E-2	0.00682894591915409	3.5	3.5	0	NA	0
PDGFRA	GBM	PDGFRA_GBM	possible oncogene	official	4.1800643086816698E-2	0.0243418878731138	1	0	0	NA	Found in 24120142
PDS5B	UCEC	PDS5B_UCEC	tsg	official	6.3131313131313094E-2	0.0140984689943826	1.5	1.5	1	NA	0
PGR	PANCAN	PGR_PANCAN	possible tsg	official	"NA"	0.0148694790175129	2	2	1	NA	0
PHF6	LAML	PHF6_LAML	possible tsg	rescued	2.15827338129496E-2	0.00748981165326578	0.5	0	0	Poor Variant Calling in liquid tumor, from manuscript, not in original 258 list.	NA
PIK3CA	KIRC	PIK3CA_KIRC	possible oncogene	official	1.6304347826087001E-2	0.117523956382862	1.5	1.5	0	NA	Found in 23792563
PIK3CA	KIRP	PIK3CA_KIRP	oncogene	official	1.09090909090909E-2	0.117523956382862	1.5	1.5	0	NA	0
PIK3CA	TGCT	PIK3CA_TGCT	oncogene	official	2.06896551724138E-2	0.117523956382862	2	2	0	NA	0
PIK3CA	GBM	PIK3CA_GBM	oncogene	official	0.109324758842444	0.117523956382862	2.5	1.995231210496745	0	NA	Found in 24120142
PIK3CA	LIHC	PIK3CA_LIHC	oncogene	official	3.3898305084745797E-2	0.117523956382862	2.5	2.5	0	NA	Found in private communication about integrative LIHC analysis
PIK3CA	PRAD	PIK3CA_PRAD	oncogene	official	2.51572327044025E-2	0.117523956382862	2.5	2.5	0	NA	0
PIK3CA	ESCA	PIK3CA_ESCA	oncogene	official	9.8837209302325604E-2	0.117523956382862	3	3	0	NA	0
PIK3CA	BLCA	PIK3CA_BLCA	oncogene	official	0.21243523316062199	0.117523956382862	3.5	3.0796734569315	0	NA	Found in 24476821
PIK3CA	LGG	PIK3CA_LGG	oncogene	official	8.0392156862745104E-2	0.117523956382862	3.5	2.700964702755	0	NA	Found in 26061751
PIK3CA	LUAD	PIK3CA_LUAD	oncogene	official	4.1763341067285402E-2	0.117523956382862	3.5	2.995926434204	0	NA	Found in 25079552
PIK3CA	UCEC	PIK3CA_UCEC	oncogene	official	0.45707070707070702	0.117523956382862	3.5	3.2023006259305	0	NA	Found in 23636398
PIK3CA	UCS	PIK3CA_UCS	oncogene	official	0.34545454545454501	0.117523956382862	3.5	2.8186765479605	0	NA	Found in 28292439
PIK3CA	COADREAD	PIK3CA_COADREAD	oncogene	official	0.231012658227848	0.117523956382862	4.5	4.5	0	NA	Found in 22810696
PIK3CA	PANCAN	PIK3CA_PANCAN	oncogene	official	"NA"	0.117523956382862	4.5	3.984498591833	0	NA	Found in 24132290
PIK3CA	STAD	PIK3CA_STAD	oncogene	official	0.106442577030812	0.117523956382862	4.5	4.5	0	NA	Found in 25079317
PIK3CA	HNSC	PIK3CA_HNSC	oncogene	official	0.17928286852589601	0.117523956382862	5	5	0	NA	Found in 25631445
PIK3CA	LUSC	PIK3CA_LUSC	oncogene	official	0.125	0.117523956382862	5	4.52561219857925	0	NA	Found in 22960745
PIK3CA	CESC	PIK3CA_CESC	oncogene	official	0.26642335766423397	0.117523956382862	5.5	4.951602973249	0	NA	Found in 28112728
PIK3CA	BRCA	PIK3CA_BRCA	oncogene	official	0.34403080872913999	0.117523956382862	6	4.42274676008079	0	NA	Found in 23000897
PIK3CB	PANCAN	PIK3CB_PANCAN	NA	rescued	"NA"	0.0123361603700848	0	NA	0	Evidence from OncoImpact/DriverNET overlap (SNV result)	NA
PIK3CG	PANCAN	PIK3CG_PANCAN	possible oncogene	rescued	"NA"	0.0264346293644675	0	NA	0	Evidence from OncoImpact/DriverNET overlap (SNV result)	NA
PIK3R1	BRCA	PIK3R1_BRCA	possible oncogene	official	2.6957637997432601E-2	0.0320519881044168	1.5	1.01789786493	0	NA	Found in 23000897
PIK3R1	LGG	PIK3R1_LGG	possible oncogene	official	4.5098039215686302E-2	0.0320519881044168	3.5	2.700964702755	0	NA	Found in 26061751
PIK3R1	UCS	PIK3R1_UCS	possible tsg	official	0.109090909090909	0.0320519881044168	3.5	2.8186765479605	0	NA	Found in 28292439
PIK3R1	PANCAN	PIK3R1_PANCAN	tsg	official	"NA"	0.0320519881044168	4	3.484498591833	0	NA	Found in 24132290
PIK3R1	UCEC	PIK3R1_UCEC	tsg	official	0.29797979797979801	0.0320519881044168	4.5	4.2023006259305	0	NA	Found in 23636398
PIK3R1	GBM	PIK3R1_GBM	possible tsg	official	0.102893890675241	0.0320519881044168	5	3.40070306120007	0	NA	Found in 24120142
PIK3R2	PANCAN	PIK3R2_PANCAN	oncogene	official	"NA"	0.00925212027756361	1.5	1.5	0	NA	0
PIK3R2	UCEC	PIK3R2_UCEC	oncogene	official	5.3030303030302997E-2	0.00925212027756361	3	3	0	NA	0
PIM1	DLBC	PIM1_DLBC	oncogene	official	0.27027027027027001	0.00561735873994933	3	2.195172191928	0	NA	0
PLCB4	UVM	PLCB4_UVM	oncogene	official	2.5000000000000001E-2	0.0273157836766164	1	0	1	NA	Found in private communication about integrative UVM analysis
PLCG1	LGG	PLCG1_LGG	oncogene	official	7.8431372549019607E-3	0.0133274589712523	1	0	0	NA	Found in 26061751
PLXNB2	PANCAN	PLXNB2_PANCAN	possible oncogene	official	"NA"	0.0263244850754488	1.5	1.5	1	NA	0
PMS1	PANCAN	PMS1_PANCAN	possible oncogene	rescued	"NA"	0.00958255314461945	0	NA	0	Involved in hypermutator phenotype	NA
PMS2	PANCAN	PMS2_PANCAN	possible tsg	rescued	"NA"	0.0104637074567684	0	NA	0	Involved in hypermutator phenotype	NA
POLE	PANCAN	POLE_PANCAN	NA	rescued	"NA"	0.0236810221390021	0	NA	0	Evidence from DriverNet (SNV result) and OncoImpact (SNV result)	NA
POLQ	PANCAN	POLQ_PANCAN	NA	official	"NA"	0.030289679480119	0.5	0	0	NA	Found in 24132290
POLRMT	CESC	POLRMT_CESC	oncogene	official	2.18978102189781E-2	0.00991298601167529	1.5	1.5	1	NA	0
PPM1D	THCA	PPM1D_THCA	NA	official	8.1300813008130107E-3	0.00660865734111686	1.5	1.5	0	NA	Found in 25417114
PPP2R1A	PANCAN	PPP2R1A_PANCAN	oncogene	official	"NA"	0.0177332305319969	3.5	2.984498591833	0	NA	Found in 24132290
PPP2R1A	UCEC	PPP2R1A_UCEC	oncogene	official	0.164141414141414	0.0177332305319969	3.5	3.2023006259305	0	NA	Found in 23636398
PPP2R1A	UCS	PPP2R1A_UCS	oncogene	official	0.27272727272727298	0.0177332305319969	5.5	4.8186765479605	0	NA	Found in 28292439
PPP6C	SKCM	PPP6C_SKCM	oncogene	official	7.10900473933649E-2	0.00682894591915409	2	2	0	NA	Found in 26091043
PRKAR1A	ACC	PRKAR1A_ACC	tsg	official	5.5555555555555601E-2	0.00638836876307963	1	0	0	NA	Found in 27505681
PSIP1	BLCA	PSIP1_BLCA	tsg	official	4.92227979274611E-2	0.00991298601167529	2	2	0	NA	0
PSIP1	PANCAN	PSIP1_PANCAN	tsg	official	"NA"	0.00991298601167529	2	1.484498591833	0	NA	0
PTCH1	PANCAN	PTCH1_PANCAN	possible tsg	official	"NA"	0.0181738076880714	1.5	1.5	0	NA	0
PTCH1	ESCA	PTCH1_ESCA	tsg	official	3.4883720930232599E-2	0.0181738076880714	2	2	0	NA	0
PTEN	BLCA	PTEN_BLCA	tsg	official	3.6269430051813503E-2	0.0746778279546206	2.5	2.11494666421225	0	NA	0
PTEN	STAD	PTEN_STAD	possible tsg	official	4.20168067226891E-2	0.0746778279546206	2.5	2.5	0	NA	0
PTEN	COADREAD	PTEN_COADREAD	tsg	official	4.4303797468354403E-2	0.0746778279546206	3	3	0	NA	0
PTEN	KICH	PTEN_KICH	tsg	official	9.2307692307692299E-2	0.0746778279546206	3	2.085927574204	0	NA	Found in 25155756
PTEN	CESC	PTEN_CESC	tsg	official	9.12408759124088E-2	0.0746778279546206	4	2.905931306298585	0	NA	Found in 28112728
PTEN	HNSC	PTEN_HNSC	tsg	official	2.3904382470119501E-2	0.0746778279546206	4.5	3.414535963739545	0	NA	0
PTEN	LUSC	PTEN_LUSC	tsg	official	0.11206896551724101	0.0746778279546206	4.5	4.5	0	NA	Found in 22960745
PTEN	PRAD	PTEN_PRAD	possible tsg	official	3.77358490566038E-2	0.0746778279546206	4.5	2.9832803865336	0	NA	Found in 26544944
PTEN	SKCM	PTEN_SKCM	tsg	official	9.7156398104265407E-2	0.0746778279546206	4.5	4.5	0	NA	Found in 26091043
PTEN	UCEC	PTEN_UCEC	tsg	official	0.59848484848484895	0.0746778279546206	4.5	4.2023006259305	0	NA	Found in 23636398
PTEN	UCS	PTEN_UCS	tsg	official	0.163636363636364	0.0746778279546206	4.5	2.72583542208407	0	NA	Found in 28292439
PTEN	BRCA	PTEN_BRCA	tsg	official	5.7766367137355598E-2	0.0746778279546206	5	3.42274676008079	0	NA	Found in 23000897
PTEN	GBM	PTEN_GBM	tsg	official	0.32475884244372999	0.0746778279546206	5	3.40070306120007	0	NA	Found in 24120142
PTEN	KIRC	PTEN_KIRC	possible tsg	official	4.0760869565217399E-2	0.0746778279546206	5	3.26352538587967	0	NA	Found in 23792563
PTEN	LGG	PTEN_LGG	possible tsg	official	4.7058823529411799E-2	0.0746778279546206	5	3.066428460908175	0	NA	Found in 26061751
PTEN	PANCAN	PTEN_PANCAN	tsg	official	"NA"	0.0746778279546206	5	4.484498591833	0	NA	Found in 24132290
PTMA	PANCAN	PTMA_PANCAN	possible tsg	official	"NA"	0.00715937878620993	1.5	1.5	1	NA	0
PTMA	TGCT	PTMA_TGCT	possible tsg	official	5.5172413793103399E-2	0.00715937878620993	2	2	1	NA	0
PTPDC1	LAML	PTPDC1_LAML	oncogene	official	2.8776978417266199E-2	0.00759995594228439	1.5	1.5	1	NA	0
PTPN11	LAML	PTPN11_LAML	possible oncogene	official	2.8776978417266199E-2	0.00892168741050777	0.5	0	0	NA	Found in 23634996
PTPN11	LGG	PTPN11_LGG	possible oncogene	official	1.37254901960784E-2	0.00892168741050777	0.5	0	0	NA	Found in 26061751
PTPN11	PANCAN	PTPN11_PANCAN	oncogene	official	"NA"	0.00892168741050777	1.5	1.5	0	NA	Found in 24132290
PTPRC	PANCAN	PTPRC_PANCAN	possible oncogene	rescued	"NA"	0.0301795351911003	0	NA	0	Evidence from DriverNet (SNV result) and OncoImpact (SNV result)	NA
PTPRD	BRCA	PTPRD_BRCA	NA	official	2.1822849807445401E-2	0.0485736314572089	0.5	0	0	NA	Found in 23000897
RAC1	HNSC	RAC1_HNSC	oncogene	official	2.5896414342629501E-2	0.00737966736424716	2.5	2.5	0	NA	0
RAC1	PANCAN	RAC1_PANCAN	oncogene	official	"NA"	0.00737966736424716	3.5	2.984498591833	0	NA	0
RAC1	SKCM	RAC1_SKCM	oncogene	official	4.9763033175355499E-2	0.00737966736424716	3.5	3.5	0	NA	Found in 26091043
RAD21	LAML	RAD21_LAML	NA	rescued	0	0.0107941403238242	0	NA	0	Poor Variant Calling in liquid tumor, from manuscript	NA
RAF1	PANCAN	RAF1_PANCAN	NA	rescued	"NA"	0.00682894591915409	0	NA	0	Evidence from DriverNet (SNV result)	NA
RARA	PANCAN	RARA_PANCAN	NA	rescued	"NA"	0.00693909020817271	0	NA	0	Evidence from OncoImpact (CNA result)	NA
RASA1	STAD	RASA1_STAD	tsg	official	2.5210084033613401E-2	0.0179535191100341	1	0	0	NA	Found in 25079317
RASA1	HNSC	RASA1_HNSC	possible tsg	official	3.38645418326693E-2	0.0179535191100341	3.5	2.964631417009995	0	NA	0
RASA1	LUSC	RASA1_LUSC	tsg	official	6.4655172413793094E-2	0.0179535191100341	3.5	3.5	0	NA	0
RASA1	PANCAN	RASA1_PANCAN	tsg	official	"NA"	0.0179535191100341	3.5	2.984498591833	0	NA	0
RB1	UCS	RB1_UCS	tsg	official	7.2727272727272696E-2	0.0370084811102544	1	0	0	NA	Found in 28292439
RB1	SKCM	RB1_SKCM	tsg	official	3.5545023696682498E-2	0.0370084811102544	1.5	1.5	0	NA	Found in 26091043
RB1	UCEC	RB1_UCEC	tsg	official	6.8181818181818205E-2	0.0370084811102544	1.5	1.5	0	NA	0
RB1	LIHC	RB1_LIHC	possible tsg	official	5.0847457627118599E-2	0.0370084811102544	2.5	2.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
RB1	HNSC	RB1_HNSC	possible tsg	official	3.38645418326693E-2	0.0370084811102544	3	3	0	NA	0
RB1	BLCA	RB1_BLCA	tsg	official	0.18393782383419699	0.0370084811102544	3.5	2.434101995475835	0	NA	Found in 24476821
RB1	LUAD	RB1_LUAD	tsg	official	4.6403712296983798E-2	0.0370084811102544	3.5	3.5	0	NA	Found in 25079552
RB1	PANCAN	RB1_PANCAN	tsg	official	"NA"	0.0370084811102544	3.5	2.984498591833	0	NA	Found in 24132290
RB1	CESC	RB1_CESC	tsg	official	5.8394160583941597E-2	0.0370084811102544	4	2.905931306298585	0	NA	0
RB1	LUSC	RB1_LUSC	tsg	official	6.8965517241379296E-2	0.0370084811102544	4	4	0	NA	Found in 22960745
RB1	OV	RB1_OV	tsg	official	3.6764705882352901E-2	0.0370084811102544	4	3.480808015463	0	NA	Found in 21720365
RB1	BRCA	RB1_BRCA	tsg	official	2.6957637997432601E-2	0.0370084811102544	4.5	3.40484889515079	0	NA	Found in 23000897
RB1	GBM	RB1_GBM	tsg	official	8.6816720257234706E-2	0.0370084811102544	4.5	2.90070306120007	0	NA	Found in 24120142
RB1	SARC	RB1_SARC	tsg	official	0.10294117647058799	0.0370084811102544	5	3.206010760151765	0	NA	Found in private communication about integrative SARC analysis
RBM10	BLCA	RBM10_BLCA	tsg	official	4.4041450777202097E-2	0.0136578918383082	2	1.354428538544335	0	NA	0
RBM10	PANCAN	RBM10_PANCAN	tsg	official	"NA"	0.0136578918383082	2.5	1.984498591833	0	NA	0
RBM10	LUAD	RBM10_LUAD	tsg	official	6.9605568445475594E-2	0.0136578918383082	4	4	0	NA	Found in 25079552
RET	PCPG	RET_PCPG	oncogene	official	3.3519553072625698E-2	0.0205969820464809	4.5	3.3301221001145	0	NA	Found in 28162975
RFC1	UCS	RFC1_UCS	possible tsg	official	3.6363636363636397E-2	0.00936226456658222	2	2	1	NA	0
RHEB	PANCAN	RHEB_PANCAN	NA	rescued	"NA"	0.0030840400925212	0	NA	0	Supported by all 3 driver mutation approaches	NA
RHOA	BLCA	RHOA_BLCA	oncogene	official	4.92227979274611E-2	0.0101332745897125	2.5	2.0796734569315	0	NA	Found in 24476821
RHOA	HNSC	RHOA_HNSC	oncogene	official	1.9920318725099601E-2	0.0101332745897125	2.5	2.5	0	NA	0
RHOA	STAD	RHOA_STAD	oncogene	official	5.6022408963585402E-2	0.0101332745897125	2.5	2.5	0	NA	Found in 25079317
RHOA	PANCAN	RHOA_PANCAN	oncogene	official	"NA"	0.0101332745897125	3	2.484498591833	0	NA	0
RHOB	BLCA	RHOB_BLCA	oncogene	official	5.9585492227979299E-2	0.00671880163013548	2	1.5796734569315	1	NA	Found in 24476821
RIT1	LUAD	RIT1_LUAD	NA	official	2.0881670533642701E-2	0.00363476153761427	1	0	0	NA	Found in 25079552
RNF111	PANCAN	RNF111_PANCAN	tsg	official	"NA"	0.0107941403238242	1.5	1.5	1	NA	0
RNF43	PANCAN	RNF43_PANCAN	tsg	official	"NA"	0.0178433748210155	2.5	1.984498591833	0	NA	0
RNF43	STAD	RNF43_STAD	possible tsg	official	3.3613445378151301E-2	0.0178433748210155	2.5	1.968906458336	0	NA	Found in 25079317
RNF43	PAAD	RNF43_PAAD	tsg	official	5.8064516129032302E-2	0.0178433748210155	4	2.633952515709	0	NA	Found in private communication about integrative PAAD analysis
RPL22	PANCAN	RPL22_PANCAN	possible tsg	official	"NA"	0.00737966736424716	1	0	0	NA	Found in 24132290
RPL22	UCEC	RPL22_UCEC	NA	official	0.10101010101010099	0.00737966736424716	1	0	0	NA	Found in 23636398
RPL5	PANCAN	RPL5_PANCAN	tsg	official	"NA"	0.00671880163013548	2	1.484498591833	0	NA	Found in 24132290
RPS6KA3	LIHC	RPS6KA3_LIHC	tsg	official	4.5197740112994399E-2	0.00936226456658222	3.5	3.07745676217175	1	NA	Found in private communication about integrative LIHC analysis
RQCD1	PANCAN	RQCD1_PANCAN	possible oncogene	official	"NA"	0.00374490582663289	1.5	1.5	1	NA	0
RQCD1	SKCM	RQCD1_SKCM	oncogene	official	3.0805687203791499E-2	0.00374490582663289	3	3	1	NA	Found in 26091043
RRAS2	UCEC	RRAS2_UCEC	oncogene	official	1.5151515151515201E-2	0.00264346293644675	1.5	1.5	1	NA	0
RUNX1	PANCAN	RUNX1_PANCAN	tsg	official	"NA"	0.0136578918383082	3	2.484498591833	0	NA	Found in 24132290
RUNX1	BRCA	RUNX1_BRCA	tsg	official	5.00641848523748E-2	0.0136578918383082	5	3.42274676008079	0	NA	Found in 23000897
RUNX1	LAML	RUNX1_LAML	tsg	official	6.4748201438848907E-2	0.0136578918383082	5.5	3.892727255177205	0	NA	Found in 23634996
RXRA	BLCA	RXRA_BLCA	oncogene	official	6.7357512953367907E-2	0.00991298601167529	3.5	2.434101995475835	0	NA	Found in 24476821
SCAF4	UCEC	SCAF4_UCEC	tsg	official	8.8383838383838398E-2	0.0164114990637735	2	1.7023006259305	1	NA	0
SCAF4	PANCAN	SCAF4_PANCAN	tsg	official	"NA"	0.0164114990637735	2.5	1.984498591833	1	NA	0
SETBP1	PANCAN	SETBP1_PANCAN	possible oncogene	rescued	"NA"	0.0265447736534861	0	NA	0	Expert curation	NA
SETD2	KIRP	SETD2_KIRP	tsg	official	6.5454545454545501E-2	0.0338142967287146	3	3	0	NA	Found in 26536169
SETD2	LGG	SETD2_LGG	possible tsg	official	1.7647058823529401E-2	0.0338142967287146	3	2.470020363811	0	NA	0
SETD2	LUAD	SETD2_LUAD	tsg	official	6.7285382830626406E-2	0.0338142967287146	3	3	0	NA	Found in 25079552
SETD2	MESO	SETD2_MESO	tsg	official	9.8765432098765399E-2	0.0338142967287146	3	2.461397313334	0	NA	0
SETD2	PANCAN	SETD2_PANCAN	tsg	official	"NA"	0.0338142967287146	3	2.484498591833	0	NA	Found in 24132290
SETD2	KIRC	SETD2_KIRC	tsg	official	0.138586956521739	0.0338142967287146	6	4.26352538587967	0	NA	Found in 23792563
SF1	BLCA	SF1_BLCA	oncogene	official	2.8497409326424899E-2	0.00947240885560084	1.5	1.5	0	NA	0
SF1	PANCAN	SF1_PANCAN	possible oncogene	official	"NA"	0.00947240885560084	1.5	1.5	0	NA	0
SF3B1	BLCA	SF3B1_BLCA	oncogene	official	5.4404145077720199E-2	0.021698424936667	1.5	1.5	0	NA	0
SF3B1	LAML	SF3B1_LAML	oncogene	official	3.5971223021582698E-2	0.021698424936667	1.5	1.5	0	NA	0
SF3B1	PANCAN	SF3B1_PANCAN	oncogene	official	"NA"	0.021698424936667	2	2	0	NA	Found in 24132290
SF3B1	BRCA	SF3B1_BRCA	oncogene	official	2.0539152759948699E-2	0.021698424936667	3.5	3.5	0	NA	Found in 23000897
SF3B1	UVM	SF3B1_UVM	oncogene	official	0.22500000000000001	0.021698424936667	5.5	3.65478461971499	0	NA	Found in private communication about integrative UVM analysis
SIN3A	PANCAN	SIN3A_PANCAN	possible tsg	official	"NA"	0.0165216433527922	1	0	0	NA	Found in 24132290
SIN3A	UCEC	SIN3A_UCEC	tsg	official	8.0808080808080801E-2	0.0165216433527922	2	2	0	NA	0
